Survived,Pclass,Sex,Age,Sibsp,Parch,Fare,Embarked,Class,Who,Adult_Male,Deck,Embark_Town,Alive,Alone
0,3,Male,22,1,0,7.25,S,Third,Man,TRUE,N/A,Southampton,No,FALSE
1,1,Female,38,1,1,71.2833,C,First,Woman,FALSE,C,Cherbourg,Yes,FALSE
1,3,Female,26,0,0,7.925,S,Third,Woman,FALSE,N/A,Southampton,Yes,TRUE
1,1,Female,35,1,1,53.1,S,First,Woman,FALSE,C,Southampton,Yes,FALSE
0,3,Male,35,0,0,8.05,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
0,3,Male,0,0,0,8.4583,Q,Third,Man,TRUE,N/A,Queenstown,No,TRUE
0,1,Male,54,0,0,51.8625,S,First,Man,TRUE,E,Southampton,No,TRUE
0,3,Male,2,3,0,21.075,S,Third,Child,FALSE,N/A,Southampton,No,FALSE
1,3,Female,27,0,0,11.1333,S,Third,Woman,FALSE,N/A,Southampton,Yes,FALSE
1,2,Female,14,1,0,30.0708,C,Second,Child,FALSE,N/A,Cherbourg,Yes,FALSE
1,3,Female,4,1,1,16.7,S,Third,Child,FALSE,G,Southampton,Yes,FALSE
1,1,Female,58,0,0,26.55,S,First,Woman,FALSE,C,Southampton,Yes,TRUE
0,3,Male,20,0,0,8.05,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
0,3,Male,39,1,0,31.275,S,Third,Man,TRUE,N/A,Southampton,No,FALSE
0,3,Female,14,0,0,7.8542,S,Third,Child,FALSE,N/A,Southampton,No,TRUE
1,2,Female,55,0,0,16,S,Second,Woman,FALSE,N/A,Southampton,Yes,TRUE
0,3,Male,2,4,0,29.125,Q,Third,Child,FALSE,N/A,Queenstown,No,FALSE
1,2,Male,0,0,0,13,S,Second,Man,TRUE,N/A,Southampton,Yes,TRUE
0,3,Female,31,1,0,18,S,Third,Woman,FALSE,N/A,Southampton,No,FALSE
1,3,Female,0,0,0,7.225,C,Third,Woman,FALSE,N/A,Cherbourg,Yes,TRUE
0,2,Male,35,0,0,26,S,Second,Man,TRUE,N/A,Southampton,No,TRUE
1,2,Male,34,0,0,13,S,Second,Man,TRUE,D,Southampton,Yes,TRUE
1,3,Female,15,0,0,8.0292,Q,Third,Child,FALSE,N/A,Queenstown,Yes,TRUE
1,1,Male,28,0,0,35.5,S,First,Man,TRUE,A,Southampton,Yes,TRUE
0,3,Female,8,3,0,21.075,S,Third,Child,FALSE,N/A,Southampton,No,FALSE
1,3,Female,38,1,0,31.3875,S,Third,Woman,FALSE,N/A,Southampton,Yes,FALSE
0,3,Male,0,0,0,7.225,C,Third,Man,TRUE,N/A,Cherbourg,No,TRUE
0,1,Male,19,3,3,263,S,First,Man,TRUE,C,Southampton,No,FALSE
1,3,Female,0,0,0,7.8792,Q,Third,Woman,FALSE,N/A,Queenstown,Yes,TRUE
0,3,Male,0,0,0,7.8958,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
0,1,Male,40,0,0,27.7208,C,First,Man,TRUE,N/A,Cherbourg,No,TRUE
1,1,Female,1,1,1,146.5208,C,First,Woman,FALSE,B,Cherbourg,Yes,FALSE
1,3,Female,0,0,0,7.75,Q,Third,Woman,FALSE,N/A,Queenstown,Yes,TRUE
0,2,Male,66,0,0,10.5,S,Second,Man,TRUE,N/A,Southampton,No,TRUE
0,1,Male,28,1,0,82.1708,C,First,Man,TRUE,N/A,Cherbourg,No,FALSE
0,1,Male,42,1,0,52,S,First,Man,TRUE,N/A,Southampton,No,FALSE
1,3,Male,0,0,0,7.2292,C,Third,Man,TRUE,N/A,Cherbourg,Yes,TRUE
0,3,Male,21,0,0,8.05,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
0,3,Female,18,2,0,18,S,Third,Woman,FALSE,N/A,Southampton,No,FALSE
1,3,Female,14,1,0,11.2417,C,Third,Child,FALSE,N/A,Cherbourg,Yes,FALSE
0,3,Female,40,1,0,9.475,S,Third,Woman,FALSE,N/A,Southampton,No,FALSE
0,2,Female,27,1,0,21,S,Second,Woman,FALSE,N/A,Southampton,No,FALSE
0,3,Male,0,0,0,7.8958,C,Third,Man,TRUE,N/A,Cherbourg,No,TRUE
1,2,Female,3,1,0,41.5792,C,Second,Child,FALSE,N/A,Cherbourg,Yes,FALSE
1,3,Female,19,0,0,7.8792,Q,Third,Woman,FALSE,N/A,Queenstown,Yes,TRUE
0,3,Male,0,0,0,8.05,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
